date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-07-06,Portugal,Spain,NA,NA,FIFA World Cup,Dallas,United States,TRUE
2026-07-06,United States,Belgium,NA,NA,FIFA World Cup,Seattle,United States,FALSE
2026-07-07,Argentina,Egypt,NA,NA,FIFA World Cup,Atlanta,United States,TRUE
2026-07-07,Switzerland,Colombia,NA,NA,FIFA World Cup,Vancouver,Canada,TRUE
2026-07-09,France,Morocco,NA,NA,FIFA World Cup,Foxborough,United States,TRUE
2026-07-10,Spain,Belgium,NA,NA,FIFA World Cup,Los Angeles,United States,TRUE
2026-07-11,Norway,England,NA,NA,FIFA World Cup,Mexico City,Mexico,FALSE
2026-07-12,TBD,TBD,NA,NA,FIFA World Cup,NA,NA,NA
2026-07-14,TBD,TBD,NA,NA,FIFA World Cup,NA,NA,NA
2026-07-15,TBD,TBD,NA,NA,FIFA World Cup,NA,NA,NA
2026-07-19,TBD,TBD,NA,NA,FIFA World Cup,NA,NA,NA
